成交时间,成交价,价格变动,成交量（手）,成交额（元）,性质
14:53:45,17.22,0.01,629,"1,083,138",买盘
14:53:42,17.21,--,85,"146,285",卖盘
14:53:39,17.21,--,186,"320,106",卖盘
14:53:36,17.21,--,815,"1,402,615",买盘
14:53:33,17.21,--,85,"146,285",买盘
14:53:30,17.21,--,169,"290,849",买盘
14:53:27,17.21,--,107,"184,147",买盘
14:53:24,17.21,--,74,"127,354",买盘
14:53:21,17.21,--,116,"199,636",卖盘
14:53:18,17.21,-0.01,160,"275,360",卖盘
14:53:15,17.22,0.01,23,"39,606",买盘
14:53:12,17.21,--,17,"29,257",买盘
14:53:09,17.21,--,68,"117,028",买盘
14:53:06,17.21,--,311,"535,231",买盘
14:53:03,17.21,-0.01,407,"700,447",卖盘
14:53:00,17.22,--,99,"170,478",买盘
14:52:57,17.22,--,1,"1,722",买盘
14:52:54,17.22,--,37,"63,714",买盘
14:52:51,17.22,0.01,6,"10,332",买盘
14:52:48,17.21,--,118,"203,078",卖盘
14:52:45,17.21,--,44,"75,724",卖盘
14:52:42,17.21,-0.01,68,"117,028",卖盘
14:52:39,17.22,0.01,41,"70,602",买盘
14:52:36,17.21,-0.01,3,"5,163",卖盘
14:52:33,17.22,0.01,80,"137,760",买盘
14:52:30,17.21,-0.01,34,"58,514",卖盘
14:52:27,17.22,0.01,174,"299,628",买盘
14:52:24,17.21,--,366,"631,263",卖盘
14:52:21,17.21,-0.01,49,"84,673",卖盘
14:52:18,17.22,0.01,56,"96,432",买盘
14:52:15,17.21,-0.01,168,"289,128",卖盘
14:52:12,17.22,0.01,82,"141,204",买盘
14:52:09,17.21,-0.01,81,"139,401",卖盘
14:52:06,17.22,--,1,"1,722",买盘
14:52:03,17.22,0.01,523,"900,606",买盘
14:52:00,17.21,-0.01,118,"203,078",卖盘
14:51:57,17.22,0.01,46,"79,212",买盘
14:51:54,17.21,-0.01,19,"32,699",卖盘
14:51:51,17.22,--,78,"134,316",买盘
14:51:48,17.22,--,11,"18,942",买盘
14:51:45,17.22,0.01,7,"12,054",买盘
14:51:42,17.21,-0.01,27,"46,467",卖盘
14:51:39,17.22,0.01,36,"61,992",买盘
14:51:36,17.21,--,32,"55,072",卖盘
14:51:33,17.21,-0.01,86,"148,006",卖盘
14:51:30,17.22,0.01,38,"65,436",买盘
14:51:27,17.21,-0.01,261,"449,181",卖盘
14:51:24,17.22,0.01,687,"1,183,014",中性盘
14:51:21,17.21,-0.01,348,"598,908",卖盘
14:51:18,17.22,--,84,"144,648",买盘
14:51:15,17.22,--,86,"148,092",买盘
14:51:12,17.22,0.01,38,"65,436",买盘
14:51:09,17.21,--,348,"598,908",卖盘
14:51:06,17.21,-0.01,57,"98,097",卖盘
14:51:03,17.22,0.01,14,"24,108",买盘
14:51:00,17.21,-0.01,51,"87,771",卖盘
14:50:57,17.22,--,40,"68,880",买盘
14:50:54,17.22,0.01,94,"161,868",买盘
14:50:51,17.21,-0.01,49,"84,329",卖盘
14:50:48,17.22,0.01,112,"192,864",买盘
14:50:45,17.21,-0.01,40,"68,840",卖盘
14:50:42,17.22,--,332,"571,704",买盘
14:50:39,17.22,17.22,22,"37,884",买盘
